time                            horizontal-angle     elevation-angle
2020-11-10 09:56:37.352          -0.000           1.135 
2020-11-10 09:56:38.353          -0.000           0.835 
2020-11-10 09:56:39.353          -0.000           0.535 
2020-11-10 09:56:40.354          -0.000           0.235 
2020-11-10 09:56:41.355           0.000           0.001 
2020-11-10 09:56:42.356          -0.000          -0.000 
2020-11-10 09:56:43.357           0.000           0.000 
2020-11-10 09:56:44.358          -0.000          -0.000 
2020-11-10 09:56:45.359           0.000          -0.000 
2020-11-10 09:56:46.360           0.000          -0.000 
2020-11-10 09:56:47.361           0.000           0.000 
2020-11-10 09:56:48.362          -0.000           0.000 
2020-11-10 09:56:49.363          -0.000           0.000 
2020-11-10 09:56:50.364          -0.000           0.000 
2020-11-10 09:56:51.365          -0.000           0.000 
2020-11-10 09:56:52.366          -0.000           0.000 
2020-11-10 09:56:53.367          -0.000           0.000 
2020-11-10 09:56:54.368          -0.000           0.000 
2020-11-10 09:56:55.369          -0.000           0.000 
2020-11-10 09:56:56.370          -0.000           0.000 
2020-11-10 09:56:57.371          -0.000           0.000 
2020-11-10 09:56:58.372          -0.000           0.000 
2020-11-10 09:56:59.373          -0.000           0.000 
2020-11-10 09:57:00.373          -0.000           0.000 
2020-11-10 09:57:01.374          -0.000           0.000 
2020-11-10 09:57:02.375          -0.000           0.000 
2020-11-10 09:57:03.376          -0.000           0.000 
2020-11-10 09:57:04.377           0.000           0.000 
2020-11-10 09:57:05.378          -0.000           0.000 
2020-11-10 09:57:06.379          -0.000           0.000 
2020-11-10 09:57:07.380          -0.000           0.000 
2020-11-10 09:57:08.381          -0.000           0.000 
2020-11-10 09:57:09.381          -0.000           0.000 
2020-11-10 09:57:10.382          -0.000           0.000 
2020-11-10 09:57:11.383          -0.000           0.000 
2020-11-10 09:57:12.384          -0.000           0.000 
2020-11-10 09:57:13.385          -0.000           0.000 
2020-11-10 09:57:14.386          -0.000           0.000 
2020-11-10 09:57:15.387          -0.000           0.000 
2020-11-10 09:57:16.388          -0.000           0.000 
2020-11-10 09:57:17.389          -0.000           0.000 
2020-11-10 09:57:18.390          -0.000           0.000 
2020-11-10 09:57:19.391          -0.000           0.000 
2020-11-10 09:57:20.392          -0.000           0.000 
2020-11-10 09:57:21.393          -0.000           0.000 
2020-11-10 09:57:22.393          -0.000           0.000 
2020-11-10 09:57:23.394          -0.000           0.000 
2020-11-10 09:57:24.395          -0.000           0.000 
2020-11-10 09:57:25.396          -0.000           0.000 
2020-11-10 09:57:26.397          -0.000           0.000 
2020-11-10 09:57:27.398          -0.000           0.000 
2020-11-10 09:57:28.399          -0.000           0.000 
2020-11-10 09:57:29.399          -0.000           0.000 
2020-11-10 09:57:30.400          -0.000           0.000 
2020-11-10 09:57:31.401          -0.000           0.000 
2020-11-10 09:57:32.402          -0.000           0.000 
2020-11-10 09:57:33.403          -0.000           0.000 
2020-11-10 09:57:34.404          -0.000           0.000 
2020-11-10 09:57:35.405          -0.000           0.000 
2020-11-10 09:57:36.406          -0.000           0.000 
2020-11-10 09:57:37.407          -0.000           0.000 
2020-11-10 09:57:38.408          -0.000           0.000 
2020-11-10 09:57:39.409          -0.000           0.000 
2020-11-10 09:57:40.409          -0.000           0.000 
2020-11-10 09:57:41.410          -0.000           0.000 
2020-11-10 09:57:42.411          -0.000           0.000 
2020-11-10 09:57:43.412          -0.000           0.000 
2020-11-10 09:57:44.413          -0.000           0.000 
2020-11-10 09:57:45.414          -0.000           0.000 
2020-11-10 09:57:46.415          -0.000           0.000 
2020-11-10 09:57:47.416          -0.000           0.000 
2020-11-10 09:57:48.416          -0.000           0.000 
2020-11-10 09:57:49.417          -0.000           0.000 
2020-11-10 09:57:50.418          -0.000           0.000 
2020-11-10 09:57:51.419          -0.000           0.000 
2020-11-10 09:57:52.420          -0.000           0.000 
2020-11-10 09:57:53.421          -0.000           0.000 
2020-11-10 09:57:54.422          -0.000           0.000 
2020-11-10 09:57:55.423          -0.000           0.000 
2020-11-10 09:57:56.424          -0.000           0.000 
2020-11-10 09:57:57.425           0.000           0.000 
2020-11-10 09:57:58.425          -0.000           0.000 
2020-11-10 09:57:59.426           0.000           0.000 
2020-11-10 09:58:00.427          -0.000           0.000 
2020-11-10 09:58:01.428          -0.000           0.000 
2020-11-10 09:58:02.429          -0.000           0.000 
2020-11-10 09:58:03.430           0.000           0.000 
